"Species","Habitat","Historical land use","IndVal.g","p.value"
"Sisymbrium orientale","Dry grasslands","Permanent crop",0.0995,0.046
"Solidago virgaurea","Dry grasslands","Permanent crop",0.0761,0.306
"Sorbus aria aggr.","Dry grasslands","Permanent crop",0.0598,0.348
"Stachys annua","Dry grasslands","Permanent crop",0.0353,0.685
"Stipa capillata","Dry grasslands","Permanent crop",0.2293,0.002
"Stipa pennata","Dry grasslands","Permanent crop",0.2637,0.001
"Stipa tirsa","Dry grasslands","Permanent crop",0.0876,0.077
"Takhtajaniantha austriaca","Dry grasslands","Permanent crop",0.1546,0.008
"Tanacetum corymbosum","Dry grasslands","Permanent crop",0.237,0.001
"Thesium linophyllon","Dry grasslands","Permanent crop",0.2852,0.001
"Thesium ramosum","Dry grasslands","Permanent crop",0.0738,0.242
"Tilia platyphyllos","Dry grasslands","Permanent crop",0.0362,0.746
"Trifolium retusum","Dry grasslands","Permanent crop",0.0419,0.456
"Ulmus minor","Dry grasslands","Permanent crop",0.0843,0.123
"Verbascum nigrum","Dry grasslands","Permanent crop",0.0716,0.221
"Viburnum lantana","Dry grasslands","Permanent crop",0.1587,0.002
"Vicia pisiformis","Dry grasslands","Permanent crop",0.0519,0.259
"Vicia tenuifolia","Dry grasslands","Permanent crop",0.1726,0.014
"Viola ambigua","Dry grasslands","Permanent crop",0.1482,0.008
"Viola hirta","Dry grasslands","Permanent crop",0.2287,0.001
"Vitis vinifera","Dry grasslands","Permanent crop",0.0669,0.285
"Allium scorodoprasum","Mesic grasslands","Permanent crop",0.2308,0.001
"Arctium nemorosum","Mesic grasslands","Permanent crop",0.0772,0.153
"Aristolochia clematitis","Mesic grasslands","Permanent crop",0.0795,0.164
"Arrhenatherum elatius","Mesic grasslands","Permanent crop",0.5445,0.001
"Astragalus asper","Mesic grasslands","Permanent crop",0.0985,0.04
"Astragalus cicer","Mesic grasslands","Permanent crop",0.2559,0.001
"Astragalus glycyphyllos","Mesic grasslands","Permanent crop",0.1649,0.004
"Atriplex sagittata","Mesic grasslands","Permanent crop",0.0314,0.952
"Avenula pubescens","Mesic grasslands","Permanent crop",0.2982,0.001
"Buglossoides arvensis aggr.","Mesic grasslands","Permanent crop",0.1225,0.015
"Buphthalmum salicifolium","Mesic grasslands","Permanent crop",0.3438,0.001
"Campanula rapunculoides","Mesic grasslands","Permanent crop",0.3272,0.001
"Centaurea jacea","Mesic grasslands","Permanent crop",0.4406,0.001
"Cerastium brachypetalum","Mesic grasslands","Permanent crop",0.1821,0.001
"Chaerophyllum aromaticum","Mesic grasslands","Permanent crop",0.1598,0.011
"Clematis integrifolia","Mesic grasslands","Permanent crop",0.064,0.286
"Clematis vitalba","Mesic grasslands","Permanent crop",0.1655,0.007
"Clinopodium vulgare","Mesic grasslands","Permanent crop",0.1464,0.024
"Colchicum autumnale","Mesic grasslands","Permanent crop",0.2777,0.001
"Crepis foetida aggr.","Mesic grasslands","Permanent crop",0.07,0.211
"Cruciata laevipes","Mesic grasslands","Permanent crop",0.1931,0.001
"Draba nemorosa","Mesic grasslands","Permanent crop",0.0905,0.066
"Drabella muralis","Mesic grasslands","Permanent crop",0.1348,0.006
"Equisetum arvense","Mesic grasslands","Permanent crop",0.2559,0.001
"Erigeron annuus","Mesic grasslands","Permanent crop",0.2112,0.001
"Euonymus europaeus","Mesic grasslands","Permanent crop",0.098,0.081
"Euphorbia dulcis","Mesic grasslands","Permanent crop",0.0942,0.07
"Euphorbia salicifolia","Mesic grasslands","Permanent crop",0.0645,0.218
"Filago arvensis","Mesic grasslands","Permanent crop",0.0811,0.127
"Filipendula vulgaris","Mesic grasslands","Permanent crop",0.1968,0.005
"Galium austriacum","Mesic grasslands","Permanent crop",0.0866,0.098
"Galium mollugo aggr.","Mesic grasslands","Permanent crop",0.347,0.001
"Heracleum sphondylium","Mesic grasslands","Permanent crop",0.3118,0.001
"Hypericum hirsutum","Mesic grasslands","Permanent crop",0.0871,0.078
"Knautia arvensis","Mesic grasslands","Permanent crop",0.3333,0.001
"Knautia drymeia","Mesic grasslands","Permanent crop",0.1904,0.002
"Lathyrus sylvestris","Mesic grasslands","Permanent crop",0.1442,0.01
"Medicago lupulina","Mesic grasslands","Permanent crop",0.2747,0.001
"Medicago x varia","Mesic grasslands","Permanent crop",0.4137,0.001
"Neottia ovata","Mesic grasslands","Permanent crop",0.0564,0.535
"Oenothera biennis","Mesic grasslands","Permanent crop",0.0706,0.214
"Onobrychis viciifolia","Mesic grasslands","Permanent crop",0.4136,0.001
"Ononis spinosa","Mesic grasslands","Permanent crop",0.2146,0.002
"Orobanche lutea","Mesic grasslands","Permanent crop",0.0595,0.369
"Papaver rhoeas","Mesic grasslands","Permanent crop",0.0644,0.263
"Pilosella floribunda","Mesic grasslands","Permanent crop",0.1782,0.001
"Primula veris","Mesic grasslands","Permanent crop",0.2069,0.001
"Prunus cerasifera","Mesic grasslands","Permanent crop",0.0862,0.052
"Ranunculus bulbosus","Mesic grasslands","Permanent crop",0.1706,0.004
"Ranunculus polyanthemos","Mesic grasslands","Permanent crop",0.2278,0.001
"Rhinanthus angustifolius","Mesic grasslands","Permanent crop",0.0694,0.408
"Rhinanthus minor","Mesic grasslands","Permanent crop",0.2747,0.001
"Rumex thyrsiflorus","Mesic grasslands","Permanent crop",0.1005,0.08
"Salvia glutinosa","Mesic grasslands","Permanent crop",0.2391,0.001
"Salvia pratensis","Mesic grasslands","Permanent crop",0.4006,0.001
"Saponaria officinalis","Mesic grasslands","Permanent crop",0.0428,0.758
"Saxifraga bulbifera","Mesic grasslands","Permanent crop",0.0908,0.136
"Schedonorus pratensis","Mesic grasslands","Permanent crop",0.3886,0.001
"Sonchus arvensis","Mesic grasslands","Permanent crop",0.0795,0.164
"Sparganium emersum","Mesic grasslands","Permanent crop",0.1048,0.022
"Tragopogon pratensis","Mesic grasslands","Permanent crop",0.4712,0.001
"Trifolium campestre","Mesic grasslands","Permanent crop",0.2831,0.001
"Trifolium montanum","Mesic grasslands","Permanent crop",0.2026,0.002
"Trifolium pratense","Mesic grasslands","Permanent crop",0.4689,0.001
"Trisetum flavescens","Mesic grasslands","Permanent crop",0.4304,0.001
"Valeriana officinalis aggr.","Mesic grasslands","Permanent crop",0.091,0.135
"Veronica agrestis","Mesic grasslands","Permanent crop",0.1841,0.001
"Veronica orchidea","Mesic grasslands","Permanent crop",0.0862,0.111
"Vicia cracca","Mesic grasslands","Permanent crop",0.3405,0.001
"Vicia sativa","Mesic grasslands","Permanent crop",0.1677,0.009
"Vicia sepium","Mesic grasslands","Permanent crop",0.2641,0.001
"Abies alba","Dry grasslands","Settlement",0.1156,0.029
"Acer platanoides","Dry grasslands","Settlement",0.0848,0.126
"Agrostis gigantea","Dry grasslands","Settlement",0.0891,0.138
"Ajuga genevensis","Dry grasslands","Settlement",0.1299,0.029
"Allium flavum","Dry grasslands","Settlement",0.2235,0.001
"Allium lusitanicum","Dry grasslands","Settlement",0.1485,0.023
"Alyssum alyssoides","Dry grasslands","Settlement",0.2349,0.001
"Androsace elongata","Dry grasslands","Settlement",0.1413,0.004
"Anisantha sterilis","Dry grasslands","Settlement",0.1978,0.001
"Anisantha tectorum","Dry grasslands","Settlement",0.1628,0.01
"Arabidopsis arenosa","Dry grasslands","Settlement",0.1133,0.028
"Arabidopsis thaliana","Dry grasslands","Settlement",0.1448,0.037
"Arenaria serpyllifolia","Dry grasslands","Settlement",0.398,0.001
"Artemisia campestris","Dry grasslands","Settlement",0.3444,0.001
"Asplenium ruta-muraria","Dry grasslands","Settlement",0.2181,0.001
"Asplenium trichomanes","Dry grasslands","Settlement",0.106,0.035
"Aurinia saxatilis","Dry grasslands","Settlement",0.2059,0.001
"Berteroa incana","Dry grasslands","Settlement",0.3822,0.001
"Camelina microcarpa","Dry grasslands","Settlement",0.3099,0.001
"Campanula cervicaria","Dry grasslands","Settlement",0.1782,0.001
"Cerastium arvense","Dry grasslands","Settlement",0.16,0.011
"Cerastium pumilum","Dry grasslands","Settlement",0.2108,0.005
"Chelidonium majus","Dry grasslands","Settlement",0.1309,0.007
"Corylus avellana","Dry grasslands","Settlement",0.1603,0.001
"Cotinus coggygria","Dry grasslands","Settlement",0.1414,0.008
"Cymbalaria muralis","Dry grasslands","Settlement",0.1414,0.004
"Cystopteris fragilis","Dry grasslands","Settlement",0.1331,0.006
"Descurainia sophia","Dry grasslands","Settlement",0.1727,0.001
"Dianthus carthusianorum aggr.","Dry grasslands","Settlement",0.2413,0.002
"Drymocallis rupestris","Dry grasslands","Settlement",0.1414,0.01
"Echium vulgare","Dry grasslands","Settlement",0.2969,0.001
"Elytrigia intermedia","Dry grasslands","Settlement",0.2475,0.001
"Erodium cicutarium","Dry grasslands","Settlement",0.1188,0.036
"Festuca ovina","Dry grasslands","Settlement",0.2109,0.001
"Festuca pallens","Dry grasslands","Settlement",0.3042,0.001
"Fragaria vesca","Dry grasslands","Settlement",0.1894,0.006
"Galium glaucum","Dry grasslands","Settlement",0.2999,0.001
"Gymnadenia conopsea","Dry grasslands","Settlement",0.1143,0.036
"Hedera helix aggr.","Dry grasslands","Settlement",0.1411,0.004
"Hieracium lachenalii","Dry grasslands","Settlement",0.0903,0.078
"Holosteum umbellatum","Dry grasslands","Settlement",0.1404,0.019
"Hypochaeris radicata","Dry grasslands","Settlement",0.1422,0.017
"Jasione montana","Dry grasslands","Settlement",0.1362,0.035
"Koeleria macrantha","Dry grasslands","Settlement",0.2979,0.001
"Lactuca serriola","Dry grasslands","Settlement",0.1897,0.002
"Lamium purpureum","Dry grasslands","Settlement",0.16,0.002
"Lepidium campestre","Dry grasslands","Settlement",0.0673,0.31
"Marrubium peregrinum","Dry grasslands","Settlement",0.1384,0.005
"Medicago falcata","Dry grasslands","Settlement",0.273,0.001
"Melampyrum cristatum","Dry grasslands","Settlement",0.1353,0.005
"Melica ciliata aggr.","Dry grasslands","Settlement",0.1737,0.011
"Minuartia setacea","Dry grasslands","Settlement",0.2365,0.001
"Myosotis stricta","Dry grasslands","Settlement",0.1356,0.036
"Noccaea perfoliata","Dry grasslands","Settlement",0.1876,0.001
"Papaver dubium aggr.","Dry grasslands","Settlement",0.2184,0.001
"Philadelphus coronarius","Dry grasslands","Settlement",0.1414,0.004
"Poa bulbosa","Dry grasslands","Settlement",0.1605,0.016
"Poa compressa","Dry grasslands","Settlement",0.4835,0.001
"Potentilla argentea","Dry grasslands","Settlement",0.3018,0.001
"Prunus domestica","Dry grasslands","Settlement",0.0841,0.123
"Reseda lutea","Dry grasslands","Settlement",0.132,0.024
"Robinia pseudoacacia","Dry grasslands","Settlement",0.0636,0.391
"Salix caprea","Dry grasslands","Settlement",0.1252,0.014
"Salvia nemorosa","Dry grasslands","Settlement",0.185,0.01
"Scleranthus annuus","Dry grasslands","Settlement",0.0976,0.101
"Scleranthus perennis","Dry grasslands","Settlement",0.1386,0.029
"Sedum acre","Dry grasslands","Settlement",0.3453,0.001
"Sedum album","Dry grasslands","Settlement",0.3682,0.001
"Sedum rupestre","Dry grasslands","Settlement",0.1784,0.001
"Sedum spurium","Dry grasslands","Settlement",0.1378,0.008
"Seseli hippomarathrum","Dry grasslands","Settlement",0.2233,0.001
"Setaria pumila","Dry grasslands","Settlement",0.077,0.216
"Silene nutans","Dry grasslands","Settlement",0.1161,0.066
"Silene viscaria","Dry grasslands","Settlement",0.1503,0.013
"Sisymbrium loeselii","Dry grasslands","Settlement",0.3971,0.001
"Syringa vulgaris","Dry grasslands","Settlement",0.2535,0.001
"Taxus baccata","Dry grasslands","Settlement",0.1414,0.004
"Thlaspi arvense","Dry grasslands","Settlement",0.1527,0.004
"Trifolium arvense","Dry grasslands","Settlement",0.2079,0.001
"Verbascum lychnitis","Dry grasslands","Settlement",0.192,0.001
"Verbascum thapsus","Dry grasslands","Settlement",0.0954,0.066
"Veronica hederifolia aggr.","Dry grasslands","Settlement",0.1152,0.05
"Veronica polita","Dry grasslands","Settlement",0.0971,0.063
"Veronica triphyllos","Dry grasslands","Settlement",0.1404,0.017
"Veronica verna","Dry grasslands","Settlement",0.133,0.026
"Viola arvensis","Dry grasslands","Settlement",0.2289,0.003
"Achillea millefolium aggr.","Mesic grasslands","Settlement",0.3483,0.001
"Alchemilla hybrida","Mesic grasslands","Settlement",0.0862,0.134
"Amaranthus hybridus aggr.","Mesic grasslands","Settlement",0.072,0.204
"Anthriscus sylvestris","Mesic grasslands","Settlement",0.2033,0.012
"Aquilegia vulgaris","Mesic grasslands","Settlement",0.0544,0.449
"Arctium lappa","Mesic grasslands","Settlement",0.1316,0.016
"Armoracia rusticana","Mesic grasslands","Settlement",0.1162,0.022
"Atriplex patula","Mesic grasslands","Settlement",0.0778,0.149
"Bellis perennis","Mesic grasslands","Settlement",0.3541,0.001
"Bromus hordeaceus","Mesic grasslands","Settlement",0.2037,0.003
"Capsella bursa-pastoris","Mesic grasslands","Settlement",0.1469,0.01
"Carum carvi","Mesic grasslands","Settlement",0.1518,0.008
"Centaurea oxylepis","Mesic grasslands","Settlement",0.0796,0.128
"Chenopodium album aggr.","Mesic grasslands","Settlement",0.0936,0.141
"Chenopodium suecicum","Mesic grasslands","Settlement",0.0949,0.056
"Cichorium intybus","Mesic grasslands","Settlement",0.2159,0.001
"Convolvulus arvensis","Mesic grasslands","Settlement",0.3703,0.001
"Crepis biennis","Mesic grasslands","Settlement",0.3868,0.001
"Crepis capillaris","Mesic grasslands","Settlement",0.0917,0.086
"Erigeron canadensis","Mesic grasslands","Settlement",0.1227,0.051
"Euphorbia helioscopia","Mesic grasslands","Settlement",0.0741,0.193
"Euphorbia peplus","Mesic grasslands","Settlement",0.1342,0.006
"Euphrasia nemorosa","Mesic grasslands","Settlement",0.0608,0.347
"Galium album","Mesic grasslands","Settlement",0.1014,0.23
"Galium pumilum","Mesic grasslands","Settlement",0.2156,0.001
"Geranium dissectum","Mesic grasslands","Settlement",0.065,0.248
"Geranium pratense","Mesic grasslands","Settlement",0.2867,0.001
"Geranium pusillum","Mesic grasslands","Settlement",0.1646,0.003
"Geum urbanum","Mesic grasslands","Settlement",0.1226,0.052
"Glechoma hederacea","Mesic grasslands","Settlement",0.296,0.001
"Helianthus tuberosus","Mesic grasslands","Settlement",0.1279,0.015
"Lamium album","Mesic grasslands","Settlement",0.1737,0.002
"Lapsana communis","Mesic grasslands","Settlement",0.1033,0.041
"Lupinus polyphyllus","Mesic grasslands","Settlement",0.0586,0.448
"Malva neglecta","Mesic grasslands","Settlement",0.0716,0.228
"Myosotis sylvatica","Mesic grasslands","Settlement",0.0972,0.057
"Orchis mascula","Mesic grasslands","Settlement",0.0833,0.119
"Oxalis stricta","Mesic grasslands","Settlement",0.0882,0.075
"Pastinaca sativa","Mesic grasslands","Settlement",0.4859,0.001
"Potentilla reptans","Mesic grasslands","Settlement",0.1605,0.023
"Prunella vulgaris","Mesic grasslands","Settlement",0.221,0.01
"Scorzoneroides autumnalis","Mesic grasslands","Settlement",0.321,0.001
"Setaria verticillata","Mesic grasslands","Settlement",0.1342,0.01
"Silene latifolia","Mesic grasslands","Settlement",0.1172,0.029
"Stellaria holostea","Mesic grasslands","Settlement",0.1182,0.021
"Stellaria media","Mesic grasslands","Settlement",0.1059,0.059
"Stellaria pallida","Mesic grasslands","Settlement",0.0944,0.078
"Taraxacum sect. Taraxacum","Mesic grasslands","Settlement",0.5208,0.001
"Trifolium repens","Mesic grasslands","Settlement",0.4039,0.001
"Verbascum phlomoides","Mesic grasslands","Settlement",0.075,0.186
"Verbena officinalis","Mesic grasslands","Settlement",0.1234,0.014
"Veronica persica","Mesic grasslands","Settlement",0.0854,0.11
"Viola odorata","Mesic grasslands","Settlement",0.2706,0.001
"Aegopodium podagraria","Wet grasslands","Settlement",0.1566,0.032
"Aethusa cynapium","Wet grasslands","Settlement",0.1107,0.038
"Alisma plantago-aquatica","Wet grasslands","Settlement",0.0736,0.212
"Alliaria petiolata","Wet grasslands","Settlement",0.0717,0.221
"Anthemis arvensis","Wet grasslands","Settlement",0.1028,0.052
"Anthemis cotula","Wet grasslands","Settlement",0.2278,0.001
"Apera spica-venti","Wet grasslands","Settlement",0.0762,0.146
"Argentina anserina","Wet grasslands","Settlement",0.4385,0.001
"Artemisia vulgaris","Wet grasslands","Settlement",0.2004,0.006
"Avena fatua","Wet grasslands","Settlement",0.0913,0.075
"Ballota nigra","Wet grasslands","Settlement",0.1528,0.008
"Blitum bonus-henricus","Wet grasslands","Settlement",0.1643,0.002
"Blysmus compressus","Wet grasslands","Settlement",0.0698,0.159
"Campanula trachelium","Wet grasslands","Settlement",0.1232,0.023
"Carduus acanthoides","Wet grasslands","Settlement",0.1076,0.113
"Carduus crispus","Wet grasslands","Settlement",0.1529,0.011
"Carex appropinquata","Wet grasslands","Settlement",0.1492,0.005
"Carex cespitosa","Wet grasslands","Settlement",0.1418,0.006
"Chaerophyllum temulum","Wet grasslands","Settlement",0.1331,0.012
"Digitaria sanguinalis","Wet grasslands","Settlement",0.0543,0.462
"Dysphania ambrosioides","Wet grasslands","Settlement",0.0985,0.045
"Epilobium ciliatum","Wet grasslands","Settlement",0.1141,0.046
"Epilobium hirsutum","Wet grasslands","Settlement",0.2225,0.001
"Epilobium obscurum","Wet grasslands","Settlement",0.1794,0.002
"Epipactis helleborine","Wet grasslands","Settlement",0.0649,0.34
"Galega officinalis","Wet grasslands","Settlement",0.0959,0.055
"Galinsoga parviflora","Wet grasslands","Settlement",0.0726,0.202
"Galinsoga quadriradiata","Wet grasslands","Settlement",0.0841,0.101
"Glyceria notata","Wet grasslands","Settlement",0.0949,0.06
"Hordeum murinum","Wet grasslands","Settlement",0.0897,0.086
"Iris sibirica","Wet grasslands","Settlement",0.1197,0.051
"Jacobaea aquatica","Wet grasslands","Settlement",0.1129,0.086
"Lamium maculatum","Wet grasslands","Settlement",0.1701,0.003
"Lepidium ruderale","Wet grasslands","Settlement",0.0977,0.076
"Lolium perenne","Wet grasslands","Settlement",0.4028,0.001
"Lycium barbarum","Wet grasslands","Settlement",0.0929,0.054
"Matricaria discoidea","Wet grasslands","Settlement",0.3227,0.001
"Mentha longifolia","Wet grasslands","Settlement",0.2839,0.001
"Moehringia trinervia","Wet grasslands","Settlement",0.0583,0.287
"Montia fontana","Wet grasslands","Settlement",0.0835,0.118
"Ochlopoa annua","Wet grasslands","Settlement",0.3654,0.001
"Oenanthe fistulosa","Wet grasslands","Settlement",0.0981,0.04
"Persicaria hydropiper","Wet grasslands","Settlement",0.1161,0.041
"Persicaria lapathifolia","Wet grasslands","Settlement",0.1012,0.078
"Plantago major","Wet grasslands","Settlement",0.4412,0.001
"Polygonum aviculare aggr.","Wet grasslands","Settlement",0.3598,0.001
"Primula elatior","Wet grasslands","Settlement",0.1149,0.041
"Puccinellia distans","Wet grasslands","Settlement",0.1523,0.008
"Ranunculus sceleratus","Wet grasslands","Settlement",0.0635,0.322
"Ribes uva-crispa","Wet grasslands","Settlement",0.0985,0.043
"Rorippa amphibia","Wet grasslands","Settlement",0.0765,0.17
"Rudbeckia laciniata","Wet grasslands","Settlement",0.0985,0.06
"Rumex conglomeratus","Wet grasslands","Settlement",0.2439,0.001
"Rumex obtusifolius","Wet grasslands","Settlement",0.1613,0.014
"Sagina procumbens","Wet grasslands","Settlement",0.0706,0.233
"Sambucus ebulus","Wet grasslands","Settlement",0.0985,0.046
"Senecio vulgaris","Wet grasslands","Settlement",0.0976,0.069
"Sinapis arvensis","Wet grasslands","Settlement",0.0673,0.276
"Sisymbrium officinale","Wet grasslands","Settlement",0.2224,0.001
"Sonchus oleraceus","Wet grasslands","Settlement",0.1549,0.004
"Sparganium erectum aggr.","Wet grasslands","Settlement",0.0856,0.087
"Triglochin palustris","Wet grasslands","Settlement",0.1069,0.045
"Tripleurospermum maritimum aggr.","Wet grasslands","Settlement",0.1403,0.021
"Urtica dioica","Wet grasslands","Settlement",0.2794,0.001
"Viola palustris","Wet grasslands","Settlement",0.1724,0.006
"Xanthium strumarium","Wet grasslands","Settlement",0.0771,0.168
"Achillea ptarmica","Wet grasslands","Water body",0.1332,0.008
"Agrostis canina","Wet grasslands","Water body",0.2728,0.001
"Agrostis stolonifera","Wet grasslands","Water body",0.3392,0.001
"Alopecurus aequalis","Wet grasslands","Water body",0.1414,0.008
"Althaea officinalis","Wet grasslands","Water body",0.1223,0.024
"Atriplex prostrata","Wet grasslands","Water body",0.1539,0.003
"Barbarea stricta","Wet grasslands","Water body",0.0607,0.369
"Bidens tripartita","Wet grasslands","Water body",0.1488,0.01
"Bolboschoenus maritimus aggr.","Wet grasslands","Water body",0.1635,0.004
"Calamagrostis canescens","Wet grasslands","Water body",0.175,0.003
"Calamagrostis epigejos","Wet grasslands","Water body",0.1805,0.03
"Callitriche palustris","Wet grasslands","Water body",0.0917,0.081
"Carex bohemica","Wet grasslands","Water body",0.084,0.096
"Carex canescens","Wet grasslands","Water body",0.1377,0.013
"Carex cuprina","Wet grasslands","Water body",0.2299,0.001
"Carex diandra","Wet grasslands","Water body",0.078,0.168
"Carex distans","Wet grasslands","Water body",0.2627,0.001
"Carex hartmaniorum","Wet grasslands","Water body",0.2058,0.001
"Carex leporina","Wet grasslands","Water body",0.1218,0.057
"Carex panicea","Wet grasslands","Water body",0.3502,0.001
"Carex pilulifera","Wet grasslands","Water body",0.0673,0.498
"Carex pulicaris","Wet grasslands","Water body",0.1001,0.075
"Carex riparia","Wet grasslands","Water body",0.0976,0.1
"Carex secalina","Wet grasslands","Water body",0.0515,0.471
"Carex vesicaria","Wet grasslands","Water body",0.2668,0.002
"Carex viridula","Wet grasslands","Water body",0.0974,0.043
"Centaurium pulchellum","Wet grasslands","Water body",0.1713,0.002
"Cerastium dubium","Wet grasslands","Water body",0.0945,0.06
"Comarum palustre","Wet grasslands","Water body",0.231,0.001
"Deschampsia cespitosa aggr.","Wet grasslands","Water body",0.2979,0.001
"Dipsacus fullonum","Wet grasslands","Water body",0.0664,0.244
"Epilobium roseum","Wet grasslands","Water body",0.0943,0.079
"Epilobium tetragonum","Wet grasslands","Water body",0.1093,0.019
"Galeopsis pubescens","Wet grasslands","Water body",0.1002,0.054
"Galium uliginosum","Wet grasslands","Water body",0.2739,0.001
"Glyceria fluitans aggr.","Wet grasslands","Water body",0.1341,0.022
"Glyceria maxima","Wet grasslands","Water body",0.2348,0.001
"Gypsophila muralis","Wet grasslands","Water body",0.0677,0.211
"Hydrocotyle vulgaris","Wet grasslands","Water body",0.2187,0.001
"Inula britannica","Wet grasslands","Water body",0.2506,0.001
"Jacobaea erratica","Wet grasslands","Water body",0.2163,0.002
"Juncus articulatus","Wet grasslands","Water body",0.2723,0.001
"Juncus compressus","Wet grasslands","Water body",0.2784,0.001
"Juncus effusus","Wet grasslands","Water body",0.2884,0.001
"Juncus gerardi","Wet grasslands","Water body",0.113,0.031
"Lotus maritimus","Wet grasslands","Water body",0.0628,0.562
"Lotus pedunculatus","Wet grasslands","Water body",0.2173,0.001
"Lotus tenuis","Wet grasslands","Water body",0.282,0.001
"Lycopus europaeus","Wet grasslands","Water body",0.2232,0.001
"Lysimachia thyrsiflora","Wet grasslands","Water body",0.0896,0.09
"Lysimachia vulgaris","Wet grasslands","Water body",0.3884,0.001
"Lythrum salicaria","Wet grasslands","Water body",0.3579,0.001
"Melilotus dentatus","Wet grasslands","Water body",0.1168,0.024
"Mentha aquatica","Wet grasslands","Water body",0.2196,0.001
"Molinia caerulea aggr.","Wet grasslands","Water body",0.324,0.001
"Myosurus minimus","Wet grasslands","Water body",0.0923,0.063
"Nardus stricta","Wet grasslands","Water body",0.1001,0.436
"Oenanthe aquatica","Wet grasslands","Water body",0.1369,0.012
"Oxybasis rubra","Wet grasslands","Water body",0.16,0.003
"Persicaria amphibia","Wet grasslands","Water body",0.1951,0.002
"Persicaria maculosa","Wet grasslands","Water body",0.0674,0.268
"Persicaria minor","Wet grasslands","Water body",0.0552,0.415
"Peucedanum palustre","Wet grasslands","Water body",0.1768,0.001
"Phalaroides arundinacea","Wet grasslands","Water body",0.2953,0.001
"Phragmites australis","Wet grasslands","Water body",0.1889,0.004
"Platanthera bifolia","Wet grasslands","Water body",0.0453,0.716
"Populus alba","Wet grasslands","Water body",0.122,0.032
"Populus nigra","Wet grasslands","Water body",0.1298,0.02
"Potentilla erecta","Wet grasslands","Water body",0.2583,0.001
"Potentilla supina","Wet grasslands","Water body",0.1606,0.001
"Pulicaria dysenterica","Wet grasslands","Water body",0.0984,0.079
"Pulicaria vulgaris","Wet grasslands","Water body",0.1463,0.006
"Ranunculus aquatilis","Wet grasslands","Water body",0.0985,0.037
"Ranunculus flammula","Wet grasslands","Water body",0.238,0.001
"Rumex crispus","Wet grasslands","Water body",0.1451,0.011
"Rumex maritimus","Wet grasslands","Water body",0.1774,0.001
"Salix cinerea subsp. cinerea","Wet grasslands","Water body",0.1699,0.004
"Salix euxina","Wet grasslands","Water body",0.05,0.62
"Salix purpurea","Wet grasslands","Water body",0.0868,0.106
"Salix triandra","Wet grasslands","Water body",0.0853,0.127
"Sanguisorba officinalis","Wet grasslands","Water body",0.2534,0.001
"Schoenoplectus lacustris","Wet grasslands","Water body",0.1373,0.006
"Scirpus radicans","Wet grasslands","Water body",0.099,0.034
"Scutellaria galericulata","Wet grasslands","Water body",0.173,0.003
"Selinum carvifolia","Wet grasslands","Water body",0.1506,0.015
"Serratula tinctoria","Wet grasslands","Water body",0.1631,0.028
"Solanum nigrum","Wet grasslands","Water body",0.0702,0.224
"Spergularia marina","Wet grasslands","Water body",0.2142,0.001
"Spiraea salicifolia","Wet grasslands","Water body",0.1403,0.004
"Stachys sylvatica","Wet grasslands","Water body",0.0734,0.238
"Stellaria palustris","Wet grasslands","Water body",0.1409,0.007
"Taraxacum besarabicum","Wet grasslands","Water body",0.2544,0.001
"Taraxacum sect. Palustria","Wet grasslands","Water body",0.0639,0.312
"Trifolium fragiferum","Wet grasslands","Water body",0.2755,0.001
"Trifolium spadiceum","Wet grasslands","Water body",0.0707,0.221
"Tripolium pannonicum","Wet grasslands","Water body",0.2131,0.001
"Typha latifolia","Wet grasslands","Water body",0.0712,0.238
"Verbascum blattaria","Wet grasslands","Water body",0.0735,0.199
"Veronica anagallis-aquatica","Wet grasslands","Water body",0.114,0.046
"Veronica catenata","Wet grasslands","Water body",0.0638,0.26
"Veronica peregrina","Wet grasslands","Water body",0.0941,0.055
"Veronica scutellata","Wet grasslands","Water body",0.1238,0.033
"Viola riviniana","Wet grasslands","Water body",0.0816,0.088
