"Species","Disturbance.Severity","Disturbance.Frequency","Grazing.Pressure","Mowing.Frequency","Soil.Disturbance","L","M","N","R","T","RC1","RC2","RC3","RC4"
"Cystopteris fragilis",0.567,0.2098,0.1656,0.0425,0.1105,5,6.75,3.75,7.5,3.5,-1.4402,-0.6633,0.6525,-0.5075
"Cytisus albus",0.497,1.102,0.3156,0.6417,0.1416,8,3,3,9,8,0.3354,-0.6517,-1.0247,2.0683
"Cytisus austriacus",0.5187,0.5145,0.2842,0.2956,0.1184,7,3,3,9,8,-0.7149,-0.4841,-1.0423,2.0827
"Cytisus hirsutus",0.61,0.184,0.2294,0.1133,0.1147,6.75,3.5,2.25,6.5,6,-1.225,-0.0145,-1.1503,-0.0344
"Cytisus procumbens",0.4149,1.2617,0.311,0.2974,0.137,8,3,3,8,8,0.163,-0.87,-1.1792,1.5645
"Cytisus ratisbonensis",0.5361,0.5547,0.2759,0.3302,0.1583,6.5,3.5,2.5,7,7,-0.6349,-0.2449,-1.1426,0.6028
"Cytisus scoparius",0.5565,0.2948,0.2467,0.099,0.153,7,4,4,3,5,-0.8364,0.1236,-1.0258,-1.9072
"Cytisus virescens",0.5019,1.1608,0.279,1.0063,0.1162,7,4,3,7,6,0.6437,-0.7202,-0.5526,0.2762
"Dactylis glomerata",0.569,0.6482,0.2256,0.4967,0.2597,6.7,5,5.9,6,5.2,-0.085,0.1594,0.2806,-0.3373
"Dactylorhiza incarnata",0.3828,1.2846,0.2243,0.5199,0.1517,8,8.5,2.5,7,3.5,0.7908,-1.8713,0.6454,-0.9456
"Dactylorhiza maculata aggr.",0.5224,0.4078,0.2102,0.2571,0.1462,6.3333,7.1944,2.6667,5,3.8889,-0.5958,-0.7532,-0.0043,-1.6591
"Dactylorhiza majalis",0.4456,1.4805,0.1782,0.9441,0.1408,7.75,8,2.5,5.5,5,1.2784,-1.2777,0.5611,-1.0944
"Dactylorhiza sambucina",0.4598,1.041,0.2823,0.3876,0.1673,6,4,3,5,5,-0.1607,-0.5295,-0.866,-1.1491
"Dactylorhiza traunsteineri",0.2435,1.4406,0.1144,0.6376,0.0902,7.3333,8.3333,2.3333,5,4.3333,0.9622,-2.1518,0.8375,-1.6885
"Dactylorhiza viridis",0.4239,0.8134,0.284,0.2233,0.1713,8,4,2,4,4,-0.048,-0.7768,-1.3534,-2.1142
"Danthonia alpina",0.5036,1.3701,0.2886,0.9967,0.1642,8.5,3,2.5,7,6,1.0692,-0.5623,-1.0069,0.1857
"Danthonia decumbens",0.4867,0.9636,0.33,0.5153,0.2257,8,5,2,3,5,0.5132,-0.4384,-1.427,-2.1908
"Daphne cneorum",0.4788,0.6011,0.2763,0.1594,0.1166,6,4,2,7,6,-0.8781,-0.7263,-1.0567,0.1552
"Daphne mezereum",0.6757,0.0456,0.1913,0.0048,0.0992,4,5,5.5,7,5,-1.963,0.263,0.3731,0.1541
"Datura stramonium",0.848,1.6549,0.1307,0.845,0.7204,8,4,8,7,6.5,1.5059,2.8458,1.0154,0.309
"Daucus carota",0.5754,1.145,0.2127,0.7008,0.3221,8,4,4.5,6,5.5,0.7264,0.3686,-0.2048,-0.4876
"Deschampsia cespitosa aggr.",0.5587,0.4943,0.2133,0.2959,0.1702,6,7,4,5,5,-0.5449,-0.3524,0.2016,-1.066
"Descurainia sophia",0.8002,1.7022,0.158,0.5866,0.671,8,4,6,7,6,1.2014,2.3491,0.4183,-0.0767
"Dianthus armeria",0.5525,0.6911,0.2566,0.5689,0.251,6.5,4.5,3,5,6,-0.043,0.0926,-0.8033,-0.8201
"Dianthus carthusianorum aggr.",0.4829,1.1356,0.289,0.6085,0.1726,8,3.1429,2.8571,6.8571,5.4286,0.4243,-0.5889,-0.9781,-0.0751
"Dianthus deltoides",0.4743,1.6143,0.2299,0.9036,0.3282,8,4,3,4,5,1.4213,-0.0066,-0.6775,-1.866
"Dianthus praecox",0.3651,1.2629,0.2874,0.0692,0.1707,9,2,2,9,7,0.0747,-1.0592,-1.4676,1.4501
"Dianthus seguieri",0.5024,0.6545,0.2308,0.2796,0.1857,7,5,3,3,5,-0.252,-0.2003,-0.8467,-2.1317
"Dianthus superbus",0.4527,0.8907,0.2196,0.4257,0.1502,6.25,7,3,7,5.25,-0.0803,-1.1135,0.2844,-0.1604
"Dichoropetalum carvifolia",0.5229,0.8861,0.1814,0.6292,0.2529,7.5,6,4,6,6,0.4402,-0.2192,0.2113,-0.3214
"Dictamnus albus",0.6111,0.169,0.235,0.1004,0.108,7,3,3,8,8,-1.2608,0.0635,-1.1067,1.6015
"Digitalis grandiflora",0.6452,0.1247,0.2014,0.07,0.1159,6,5,5,6,5,-1.3556,0.1326,0.0064,-0.3663
"Digitaria ischaemum",0.8033,1.9982,0.1487,0.451,0.7008,8,4,5,4,6,1.3614,2.6998,-0.1499,-1.6922
"Digitaria sanguinalis",0.8138,1.8763,0.1584,0.81,0.6409,8,3,5,6,7,1.4721,2.5526,-0.1677,-0.2438
"Diplotaxis muralis",0.7772,1.6214,0.165,0.8862,0.6057,8,4,6,8,8,1.4011,2.0902,0.4366,1.2897
"Diplotaxis tenuifolia",0.7282,1.551,0.1848,0.7243,0.4714,8,3,6,7,7,1.0067,1.6674,0.0552,0.5872
"Dipsacus fullonum",0.6275,1.1122,0.2113,0.6958,0.2284,8,6,7,7,6,0.6609,0.122,0.9426,0.6138
"Dipsacus laciniatus",0.592,1.3191,0.1996,0.7832,0.248,8,6,6,7,7,0.9456,0.0559,0.7342,0.8316
"Dipsacus pilosus",0.6403,0.3028,0.1891,0.1923,0.1309,6,6,7,7,6,-1.0044,0.1026,0.8768,0.7183
"Doronicum austriacum",0.5922,0.1664,0.1842,0.0372,0.1008,5,6,7,6,3,-1.4538,-0.2262,1.0274,-0.9555
"Dorycnium pentaphyllum",0.5634,0.5148,0.2976,0.2858,0.1381,7,2.6667,3,8,6.3333,-0.7388,-0.246,-1.1777,0.9408
"Draba nemorosa",0.5337,1.7929,0.3206,0.9424,0.2267,9,4,3,7,7,1.5409,-0.3861,-0.8537,0.6001
"Draba verna aggr.",0.5607,1.5804,0.2942,0.3384,0.4522,8.1667,3,2.3333,6.3333,6.1667,0.7642,0.5923,-1.352,-0.4161
"Drabella muralis",0.6262,0.863,0.2521,0.3375,0.3764,7,4,4,8,6,-0.1013,0.5685,-0.3905,0.5928
"Drosera rotundifolia",0.2153,0.8686,0.1317,0.2225,0.1474,8,9,1,1,4,0.5029,-1.9179,-0.1266,-3.8901
"Drymocallis rupestris",0.4667,0.8341,0.2597,0.3463,0.1253,6,4,3,6,5,-0.4515,-0.6708,-0.6948,-0.6404
"Drymochloa sylvatica",0.6978,0.0231,0.1887,0.0059,0.1052,3,5,6,6,5,-2.1516,0.548,0.4296,-0.2761
"Dryopteris carthusiana aggr.",0.6904,0.0878,0.187,0.0125,0.1293,4.2917,6,4.75,3.5,3.625,-1.6894,0.4562,0.1044,-2.1931
"Dryopteris cristata",0.4842,0.4226,0.1433,0.1446,0.1378,5,9,4,4,5,-0.8007,-0.7546,0.8513,-1.6258
"Dryopteris filix-mas",0.6859,0.0545,0.1861,0.012,0.1055,3,5,6,5,5,-2.0804,0.5997,0.3263,-0.7571
"Echinochloa crus-galli",0.7849,1.7186,0.1584,0.419,0.6192,6.5,5,8,7,7,0.7743,2.273,1.1044,0.6063
"Echinocystis lobata",0.5941,0.8555,0.1678,0.3102,0.189,6.5,8.5,8,7.5,8,-0.1074,-0.1373,1.7858,1.7474
"Echinops ritro",0.5813,0.5328,0.3283,0.2793,0.191,9,3,3,8,7,-0.2412,-0.1703,-1.4094,1.2226
"Echinops sphaerocephalus",0.6574,0.8898,0.1946,0.5892,0.2303,8,4,7,7,7,0.2362,0.6417,0.3863,1.0263
"Echium vulgare",0.5763,1.4449,0.2562,0.579,0.2766,8.5,4,4,6,5.5,0.8378,0.1307,-0.5067,-0.4626
"Elatine hydropiper",0.6601,1.8619,0.1557,0.0112,0.3086,8,9,5,4,6,0.707,0.3688,0.924,-1.2922
"Eleocharis acicularis",0.4725,1.6706,0.125,0.0814,0.2037,7.5,10,3,5,5.5,0.5833,-0.9965,1.0426,-1.232
"Eleocharis mamillata",0.2662,1.4245,0.0976,0.0995,0.1565,8,10,4,4.5,5,0.6987,-1.8808,1.3653,-1.5332
"Eleocharis ovata",0.6922,1.8353,0.164,0.0238,0.3305,8.5,8.5,5.5,5,6,0.7493,0.5212,0.9771,-0.7498
"Eleocharis palustris",0.3712,1.7858,0.256,0.3305,0.1283,8,10,6,6,6,1.1139,-1.7683,1.4191,0.0569
"Eleocharis uniglumis",0.4291,1.9981,0.3892,0.5029,0.1413,7.5,10,5.5,7,5.5,1.3188,-1.8575,1.0273,0.3995
"Elymus caninus",0.6458,0.272,0.1835,0.1023,0.1268,5,6,7,7,5,-1.3462,0.1069,1.0096,0.2976
"Elytrigia intermedia",0.5199,1.1466,0.3177,0.6,0.1655,7,3,4,7,7,0.2032,-0.2689,-0.9117,0.8061
"Elytrigia repens aggr.",0.6299,1.3372,0.2413,0.667,0.3991,7,5,7,6,5.5,0.7872,0.8023,0.5735,-0.2439
"Epilobium angustifolium",0.6406,0.3028,0.1946,0.1319,0.1904,8,5,7,5,4,-0.6023,0.3523,0.3932,-1.056
"Epilobium ciliatum",0.6079,1.1371,0.1965,0.4761,0.2521,7,5.5,7.5,6,5.5,0.2824,0.3548,0.927,-0.0634
"Epilobium dodonaei",0.5917,1.038,0.1826,0.2063,0.2682,9,4,3,8,6,0.1122,0.09,-0.4548,0.5145
"Epilobium hirsutum",0.4646,0.9897,0.1815,0.4698,0.1444,7,8,8,7,5,0.2999,-0.9547,1.8775,0.3459
"Epilobium montanum",0.6657,0.1105,0.1858,0.0536,0.1177,4.5,5,6,6,5,-1.6908,0.3753,0.3871,-0.2797
"Epilobium obscurum",0.4883,1.0917,0.194,0.4527,0.1407,7,8,5,4,5,0.3695,-0.7579,0.7395,-1.4443
"Epilobium palustre",0.4037,1.0842,0.1731,0.4041,0.145,7,9,2.5,3,4.5,0.4416,-1.268,0.3764,-2.4922
"Epilobium parviflorum",0.4849,1.012,0.2546,0.4824,0.152,7,9,6,8,5,0.3456,-1.3085,1.459,0.6387
"Epilobium roseum",0.5663,0.7638,0.1947,0.3337,0.1782,7,8,8,7,6,-0.0486,-0.3753,1.6332,0.7615
"Epilobium tetragonum",0.5742,1.1659,0.2385,0.518,0.256,7,5.6667,5,5,6,0.4072,0.135,0.054,-0.6188
"Epipactis atrorubens",0.6125,0.1918,0.2264,0.086,0.1126,6,3,2,8,6,-1.4912,-0.0558,-1.0901,0.6313
"Epipactis helleborine",0.6867,0.0409,0.2029,0.0147,0.107,3.5,4.75,4.75,6.25,5,-2.056,0.4027,0.0229,-0.2968
"Epipactis palustris",0.3561,1.1724,0.1981,0.5531,0.1062,7,8,2,8,5,0.4439,-1.96,0.5784,0.0767
"Equisetum arvense",0.6201,0.9617,0.177,0.477,0.3813,6,6,4,5,5,0.1215,0.6476,0.2037,-1.362
"Equisetum fluviatile",0.34,1.0929,0.1375,0.3488,0.1174,8,10,5,4,4.5,0.673,-1.696,1.4242,-1.7104
"Equisetum palustre",0.449,1.1627,0.1891,0.6235,0.1392,6.5,8,3.5,5,5,0.4864,-1.0851,0.6233,-1.1878
"Equisetum pratense",0.6505,0.19,0.1943,0.0936,0.141,5,6,5,7,4,-1.4338,-0.0293,0.5464,-0.3594
"Equisetum ramosissimum",0.5671,0.7554,0.2198,0.3636,0.2303,8,4,3,7,7,-0.0759,0.0421,-0.7432,0.5328
"Equisetum sylvaticum",0.6124,0.2983,0.1778,0.1441,0.1454,3.5,7,4,4.5,4,-1.4403,-0.03,0.4259,-1.7418
"Equisetum telmateia",0.5873,0.4526,0.1848,0.2382,0.1393,6,8,5,8,6,-0.7276,-0.5742,1.0527,0.8884
"Equisetum variegatum",0.2787,1.2801,0.1518,0.2652,0.0736,8,9,2,8,5,0.4726,-2.4614,0.8977,0.0439
"Eragrostis minor",0.8271,2.1048,0.1524,0.9514,0.5475,8,3,5,7,7,1.6095,2.2432,0.0699,0.3137
"Erigeron acris",0.5327,1.2145,0.2535,0.6452,0.2584,8.5,3.9,3,7.9,4.8,0.6855,-0.3689,-0.4742,0.0523
"Erigeron annuus",0.6192,0.9903,0.1793,0.6772,0.3127,7.5,5.5,7,6,5.5,0.5652,0.5297,0.8663,-0.1931
"Erigeron canadensis",0.7132,1.2955,0.186,0.6219,0.4874,8,4,5.5,6,6,0.8375,1.5218,0.0476,-0.3607
"Eriophorum angustifolium",0.2268,1.1759,0.1401,0.292,0.1415,8,9,2,4,4,0.6934,-2.1523,0.5241,-2.3445
"Eriophorum latifolium",0.2764,1.566,0.128,0.8194,0.0579,8,9,2,8,5,1.2581,-2.5327,1.2045,0.0165
"Eriophorum vaginatum",0.3332,0.5239,0.147,0.1096,0.168,7,9,1,2,3,-0.1787,-1.506,-0.0479,-3.7961
"Erodium cicutarium",0.6818,1.7082,0.2541,0.4185,0.5732,8,4,6,6,6,1.0719,1.5587,-0.0957,-0.3474
"Eryngium campestre",0.5485,1.094,0.3276,0.5751,0.2294,9,3,3,7,7,0.5855,-0.1399,-1.3446,0.6612
"Erysimum cheiranthoides",0.823,1.4481,0.1266,0.3548,0.6827,7,5,7,7,5,0.6253,2.4397,1.0415,-0.4045
"Erysimum diffusum",0.5098,1.3951,0.3505,0.487,0.2477,9,2,3,6.5,7,0.7147,-0.0958,-1.6964,0.4073
"Erysimum hieracifolium",0.6146,0.6362,0.2352,0.3569,0.2304,8,4,4,6,7,-0.156,0.3672,-0.7234,0.2243
"Erysimum marschallianum",0.5619,1.4365,0.3162,0.8423,0.2118,9,3,4,6,7,1.1234,0.0027,-1.0471,0.3025
"Erysimum odoratum",0.4783,0.5612,0.2673,0.1536,0.1535,7,3,3,8,7,-0.7358,-0.4914,-1.043,1.1338
"Erysimum repandum",0.6622,1.7114,0.2454,0.6128,0.4148,8,4,5,8,7,1.0174,0.8639,-0.0523,1.0383
"Erysimum sylvestre",0.4307,0.5721,0.2567,0.0839,0.1474,9,3,2,7,4,-0.3766,-0.9564,-1.2439,-0.6608
"Euonymus europaeus",0.6804,0.0906,0.1955,0.0127,0.105,5,5,6,7,5,-1.7101,0.2672,0.4249,0.232
"Euonymus verrucosus",0.6929,0.0344,0.1955,0.0048,0.1067,5.5,4,4.5,7,6,-1.7501,0.4322,-0.2962,0.4607
"Eupatorium cannabinum",0.5249,0.5384,0.1739,0.2795,0.1308,7,7,7,7,5,-0.3809,-0.6207,1.2882,0.2706
"Euphorbia amygdaloides",0.6877,0.0352,0.1991,0.0136,0.1019,4,5,5,7,5,-1.974,0.2799,0.2187,0.0993
"Euphorbia angulata",0.5826,0.2881,0.2486,0.1984,0.1041,6,5,5,6,7,-1.0227,-0.0966,-0.265,0.4892
"Euphorbia cyparissias",0.5194,0.6754,0.2733,0.3723,0.1699,8,3,3,6,6,-0.1727,-0.2381,-1.2238,-0.2088
"Euphorbia dulcis",0.6884,0.0457,0.1926,0.0158,0.1023,4,5,6,7,6,-1.9432,0.4208,0.406,0.6226
"Euphorbia epithymoides",0.611,0.1712,0.222,0.0832,0.1096,6,3,3,8,7,-1.4886,0.0648,-0.9171,1.1629
"Euphorbia esula",0.5991,1.3149,0.203,0.8226,0.2611,8,4,3.75,7.625,6.125,0.8062,0.1448,-0.1294,0.4865
"Euphorbia exigua",0.7564,1.5257,0.2567,0.3772,0.5391,7,4,5,8,6,0.5011,1.5752,-0.0973,0.5211
"Euphorbia helioscopia",0.8536,1.7805,0.1461,0.451,0.7835,6.5,5,7,7,6,0.9786,2.8941,0.9744,-0.1164
"Euphorbia illirica",0.5497,0.5277,0.2311,0.4052,0.1365,7.5,6.5,4,7,7,-0.2117,-0.5718,0.0521,0.7722
"Euphorbia lucida",0.5146,1.3096,0.1867,0.8026,0.1103,7,8,7,7,6,0.7836,-0.8695,1.6764,0.6539
"Euphorbia palustris",0.5127,0.7637,0.1835,0.4588,0.1376,7.5,8,7,7.5,6,0.1522,-0.8266,1.5246,0.9011
"Euphorbia peplus",0.7792,0.952,0.2505,0.432,0.5069,6.5,4,7.5,7,6,0.0814,1.8553,0.3503,0.4363
"Euphorbia platyphyllos",0.7151,0.789,0.2176,0.3982,0.4644,7,5,6,7,7,0.0717,1.3636,0.2258,0.6574
"Euphorbia salicifolia",0.6238,0.3033,0.2333,0.2155,0.1385,7,4,3,8,7,-0.9558,-0.0243,-0.737,1.1502
"Euphorbia seguieriana",0.4735,1.3419,0.3283,0.446,0.238,9,2,2,7.6667,7,0.5925,-0.3989,-1.7136,0.8114
"Euphorbia stricta",0.5803,0.6273,0.225,0.3976,0.2092,6,6,6,6,5,-0.3665,-0.0378,0.5695,-0.364
"Euphrasia nemorosa",0.4804,1.7427,0.3176,0.9028,0.1753,8,5,3,4,5,1.3906,-0.681,-0.757,-1.6019
"Euphrasia pectinata",0.4528,1.6036,0.3289,0.5347,0.1926,8,4,2,6,6,0.8016,-0.7636,-1.2339,-0.3794
"Euphrasia rostkoviana",0.4709,1.7336,0.3714,0.7964,0.303,7,5,4,4,5,1.2876,-0.3379,-0.7197,-1.5698
"Euphrasia stricta",0.4753,1.563,0.3158,0.6086,0.2049,8,4,2,5,6,0.8781,-0.526,-1.2989,-0.8745
"Fagus sylvatica",0.6988,0.025,0.1945,0.0059,0.1092,3,5,5,6,5,-2.1608,0.5002,0.1648,-0.4022
"Falcaria vulgaris",0.5806,1.4741,0.2784,0.7796,0.2537,7,3,5,8.5,7,0.639,0.167,-0.246,1.4873
"Fallopia convolvulus",0.812,0.9013,0.143,0.3382,0.6848,7,5,6,6,6,0.2798,2.5082,0.4309,-0.5475
"Fallopia dumetorum",0.662,0.2235,0.1937,0.105,0.1614,6,5,7,7,6,-1.1981,0.4171,0.5778,0.704
"Festuca filiformis",0.4501,0.8947,0.3156,0.3302,0.2506,7,4,2,3,5,0.0597,-0.2909,-1.6002,-2.2514
"Festuca heterophylla",0.6871,0.033,0.2018,0.0182,0.1078,4,4,4,5,6,-1.9714,0.6424,-0.5953,-0.5704
"Festuca ovina",0.5209,0.5717,0.275,0.2925,0.1965,6.1667,3,1.5,2.5,5.5,-0.5813,0.1618,-1.9202,-2.3123
"Festuca pallens",0.3931,0.8308,0.2767,0.0851,0.1879,8,2,1,6,7,-0.3294,-0.5838,-2.0585,-0.1108
"Festuca psammophila",0.4543,0.7853,0.3119,0.4113,0.3325,8,2,2,4,7.3333,0.2391,0.257,-2.1851,-0.8952
"Festuca rubra aggr.",0.4914,1.2316,0.2873,0.619,0.2974,7,5.5,3.5,4.75,5,0.6881,-0.2807,-0.4351,-1.3391
"Festuca stricta subsp. stricta",0.4464,0.721,0.3122,0.1653,0.1554,8,3,2.25,6,6,-0.3182,-0.6596,-1.5911,-0.2608
"Festuca stricta subsp. sulcata",0.5035,1.1138,0.282,0.7428,0.165,8,3,2.25,6,6,0.5379,-0.4132,-1.2521,-0.3209
"Festuca stricta subsp. trachyphylla",0.4612,1.2735,0.3125,0.7424,0.2772,8,3,2.25,6,6,0.8529,-0.3277,-1.3517,-0.4288
"Festuca trichophylla",0.4941,1.0702,0.3401,0.5186,0.1784,8,7,2,7,7,0.5347,-1.0771,-0.6471,0.5575
"Festuca valesiaca aggr.",0.5103,1.0251,0.344,0.5491,0.1901,8.25,2.625,2.625,7.625,7.5,0.304,-0.3807,-1.5111,1.1613
"Ficaria calthifolia",0.5359,0.5668,0.2587,0.2241,0.1641,6,4,5,7,6,-0.7761,-0.1783,-0.2719,0.4807
"Ficaria verna",0.6655,0.1742,0.1965,0.088,0.1404,4,6,7,7,5,-1.6247,0.2582,0.9891,0.2918
"Filago arvensis",0.5729,1.3213,0.312,0.5363,0.3746,8,3,3,4,7,0.7584,0.7225,-1.5924,-0.9694
"Filago germanica",0.5997,1.298,0.3117,0.4736,0.3479,8.5,3,2.5,4,7,0.7006,0.7131,-1.7668,-0.9898
"Filago minima",0.4154,1.3465,0.3273,0.4484,0.3507,9,2,2,4,6,0.9203,-0.0408,-2.0816,-1.4657
"Filipendula ulmaria",0.5456,0.6629,0.1833,0.437,0.1484,6.6667,7.8333,4.6667,6,5.6667,-0.1305,-0.5975,0.7817,-0.2563
"Filipendula vulgaris",0.5173,0.9477,0.2564,0.7396,0.1831,7,4,3,8,6,0.2361,-0.5065,-0.4639,0.663
"Fourraea alpina",0.6083,0.1624,0.21,0.0603,0.092,5,4,4,8,6,-1.672,-0.0835,-0.2589,0.8707
"Fragaria moschata",0.6555,0.1139,0.2024,0.0804,0.1165,6,5,6,6,6,-1.3362,0.3016,0.1595,0.1693
"Fragaria vesca",0.6606,0.1153,0.2003,0.0667,0.1288,6.5,5,5.5,6,5,-1.255,0.2355,0.0927,-0.3056
"Fragaria viridis",0.531,0.7998,0.2594,0.6024,0.1602,7,3,4,7,5,-0.0829,-0.2863,-0.5746,-0.0385
"Frangula alnus",0.6687,0.1537,0.1946,0.036,0.1558,6,7.5,4,4,6,-1.1324,0.2186,0.0266,-1.1024
"Fraxinus angustifolia",0.6737,0.1634,0.2039,0.0238,0.1133,4.5,7,6.5,6.5,7,-1.5612,0.2162,0.796,0.8422
"Fraxinus excelsior",0.6849,0.0929,0.1892,0.0282,0.1128,4,6,7,7,5,-1.8065,0.2797,0.9857,0.3228
"Fumana procumbens",0.4678,1.1223,0.3777,0.3426,0.2121,9,1,2,9,8,0.2186,-0.4718,-2.1238,1.9542
"Fumaria officinalis",0.8486,1.5892,0.1445,0.4973,0.7892,7,5,7,6,6,1.0458,2.9651,0.8072,-0.5758
"Fumaria schleicheri",0.7509,0.8622,0.179,0.3272,0.5492,7,4,6,8,7,0.0103,1.8489,0.2447,0.9947
"Fumaria vaillantii",0.8162,1.2773,0.1668,0.476,0.7454,7,4,6,8,7,0.6548,2.6526,0.3646,0.7435
"Gagea bohemica",0.4783,1.6344,0.3451,0.225,0.3169,9,2,2,3,7.5,0.8039,0.3145,-2.4257,-1.2859
"Gagea lutea",0.6888,0.0761,0.1849,0.0245,0.1064,4,6,7,7,5,-1.8363,0.2856,0.9991,0.3265
"Gagea minima",0.6505,0.2663,0.2439,0.1436,0.2222,6.5,4.5,7.5,7,6,-0.9348,0.5278,0.363,0.7679
"Gagea pratensis",0.7407,0.7292,0.1808,0.2627,0.54,7,4,6.5,7.5,6.5,-0.1321,1.8268,0.2989,0.6405
"Gagea pusilla",0.5043,1.4016,0.4174,0.7035,0.1986,6,3,5,8,7,0.3766,-0.4044,-0.8146,1.4547
"Gagea villosa",0.7786,0.8258,0.2333,0.3017,0.5893,7,4,6,7,7,0.0376,2.0893,-0.1246,0.5502
"Galanthus nivalis",0.6944,0.0558,0.1833,0.0114,0.1038,5,6,7,7,6,-1.6674,0.3294,0.855,0.7507
"Galatella linosyris",0.4905,1.2269,0.3171,0.5269,0.1588,8,2,3,8,7,0.2824,-0.4639,-1.3166,1.168
"Galega officinalis",0.604,0.9132,0.2114,0.5534,0.228,7,6,7,7,6,0.1901,0.0916,0.9329,0.606
"Galeopsis angustifolia",0.5958,0.7102,0.1772,0.2047,0.3357,8,2,3,8,7,-0.3461,0.7108,-0.9875,0.8542
"Galeopsis ladanum",0.7406,0.658,0.1663,0.3107,0.5058,8,4,4,5,5,0.048,1.7015,-0.4859,-1.4266
"Galeopsis pubescens",0.6908,0.2429,0.1837,0.1475,0.2045,6,5,7,6,5,-1.0862,0.6886,0.5781,-0.2288
"Galeopsis speciosa",0.6835,0.3031,0.1715,0.149,0.2312,7,5,6.5,6,5,-0.8133,0.6731,0.4559,-0.3265
"Galeopsis tetrahit aggr.",0.7054,0.356,0.1703,0.1901,0.3201,6.625,4.9583,7.1667,4.75,5.25,-0.6573,1.2051,0.4618,-0.8379
"Galinsoga parviflora",0.8344,1.7439,0.1437,0.5649,0.7625,8,5,8,6,6,1.4208,2.8297,1.0454,-0.4143
"Galinsoga quadriradiata",0.8398,1.7785,0.1334,0.4187,0.7581,8,5,8,6,6,1.2647,2.8669,1.0502,-0.4248
"Galium aparine",0.6732,0.4373,0.173,0.227,0.2791,6,5,8,6,6,-0.7266,0.954,0.8307,0.1905
"Galium austriacum",0.5095,0.3935,0.2284,0.085,0.1399,7,4,2,9,6,-0.9829,-0.6947,-0.7439,1.0546
"Galium boreale",0.5234,0.752,0.2153,0.6043,0.1847,6.1667,5.6667,2.8333,7.6667,6.1667,-0.1189,-0.552,-0.0318,0.4903
"Galium glaucum",0.491,0.6275,0.291,0.2675,0.1502,8,2,3,8,7,-0.435,-0.4074,-1.3892,1.1874
"Galium intermedium",0.6862,0.0393,0.1955,0.0147,0.104,4,5,6,6,6,-1.9111,0.5094,0.2688,0.1511
"Galium mollugo aggr.",0.544,0.705,0.1864,0.4971,0.2452,7,4.3,5.55,6.6,6,-0.0612,0.1403,0.2009,0.1931
"Galium odoratum",0.6959,0.0274,0.1889,0.0082,0.1029,3,5,6,6,5,-2.1473,0.5329,0.431,-0.2738
"Galium palustre aggr.",0.4375,0.8895,0.2088,0.3972,0.1302,6,9,5,5.3333,5,0.0347,-1.2261,1.1008,-0.8011
"Galium pumilum",0.4927,0.7904,0.2639,0.4152,0.1645,7,4,3,4,5,-0.1106,-0.3227,-1.0198,-1.5997
"Galium rivale",0.5063,1.0604,0.1697,0.7055,0.1268,6,8,6,6,6,0.3452,-0.7241,1.3681,0.0115
"Galium saxatile",0.5368,0.5076,0.293,0.2283,0.2058,6,5,3,2,4,-0.5662,-0.0187,-1.131,-2.956
"Galium spurium",0.8329,1.2779,0.138,0.3616,0.7456,7,5,5.5,7.5,6,0.5636,2.5846,0.5753,3e-04
"Galium sylvaticum",0.6918,0.0319,0.1921,0.013,0.1054,5,5,5,6,5,-1.7469,0.3652,0.0603,-0.3682
"Galium uliginosum",0.4745,1.2667,0.1897,0.7615,0.1461,6,8,2.5,4,5,0.6098,-0.9092,0.3358,-1.8071
"Galium valdepilosum",0.6202,0.1894,0.2238,0.0906,0.1556,7,4,3,5.5,6,-1.0765,0.2065,-0.9839,-0.4607
"Galium verum",0.5016,1.1959,0.2726,0.7025,0.2459,7,4.5,3.1667,6.5,6.1667,0.5536,-0.3285,-0.5449,-0.0327
"Genista germanica",0.622,0.1808,0.2308,0.1042,0.1209,7,4,2,3,5,-1.0576,0.2218,-1.4746,-2.1278
"Genista pilosa",0.5355,0.465,0.2902,0.1478,0.1341,7,3,1.5,4,5.5,-0.7902,-0.1456,-1.9003,-1.4908
"Genista sagittalis",0.5024,0.91,0.2802,0.537,0.1645,7,4,3,4,5,0.1033,-0.3216,-1.0323,-1.5858
"Genista tinctoria",0.5749,0.3528,0.2467,0.2716,0.1416,7,4,3,6,6,-0.744,-0.1211,-0.92,-0.1992
"Gentiana cruciata",0.4966,1.1198,0.2696,0.697,0.1585,7,3,3,8,6,0.2326,-0.5411,-0.7228,0.695
"Gentiana pannonica",0.437,0.2776,0.2218,0.0511,0.089,7,5,3,2,3,-0.8142,-0.7405,-0.8711,-3.3016
"Gentiana pneumonanthe",0.3836,1.5575,0.2707,0.5981,0.1073,7.5,7,2,6,5,0.8565,-1.6618,-0.1514,-0.7916
"Gentianella amarella",0.4922,1.8667,0.378,0.8864,0.2462,8,5,3,7,5,1.4691,-0.8238,-0.6232,-0.1952
"Gentianella ciliata",0.4932,0.8048,0.2731,0.5087,0.1155,7,3,2.5,8,6,-0.2534,-0.6816,-0.9596,0.7037
"Geranium columbinum",0.5835,0.9714,0.2611,0.4429,0.295,7,4,6,7,6,0.0915,0.3482,0.0023,0.4644
"Geranium dissectum",0.6573,1.4711,0.2278,0.7311,0.5102,7,4,6.5,7,6,0.9671,1.284,0.3779,0.2273
