"Habitat","Species","Historical land use","IndVal.g","p.value"
"Mesic grasslands","Galium rubioides","Forest",0.0953,0.077
"Mesic grasslands","Galium saxatile","Forest",0.0674,0.222
"Mesic grasslands","Galium spurium","Arable land",0.0469,0.555
"Mesic grasslands","Galium sylvaticum","Grassland",0.0371,1
"Mesic grasslands","Galium uliginosum","Grassland",0.2361,0.021
"Mesic grasslands","Galium verum","Arable land",0.2709,0.22
"Mesic grasslands","Galium x pomeranicum","Arable land",0.0469,0.513
"Mesic grasslands","Genista germanica","Forest",0.0829,0.298
"Mesic grasslands","Genista pilosa","Forest",0.0674,0.262
"Mesic grasslands","Genista tinctoria","Arable land",0.1032,0.45
"Mesic grasslands","Gentiana pannonica","Forest",0.0876,0.119
"Mesic grasslands","Gentiana pneumonanthe","Arable land",0.0469,0.532
"Mesic grasslands","Gentianella amarella","Forest",0.0674,0.252
"Mesic grasslands","Gentianella austriaca","Arable land",0.0784,0.668
"Mesic grasslands","Geranium columbinum","Arable land",0.0387,0.888
"Mesic grasslands","Geranium dissectum","Settlement",0.0674,0.362
"Mesic grasslands","Geranium palustre","Forest",0.0546,0.722
"Mesic grasslands","Geranium phaeum","Arable land",0.0664,0.278
"Mesic grasslands","Geranium pratense","Settlement",0.2962,0.003
"Mesic grasslands","Geranium pusillum","Settlement",0.2373,0.001
"Mesic grasslands","Geranium pyrenaicum","Grassland",0.0824,0.236
"Mesic grasslands","Geranium robertianum","Settlement",0.0693,0.464
"Mesic grasslands","Geranium sanguineum","Grassland",0.1792,0.021
"Mesic grasslands","Geranium sylvaticum aggr.","Grassland",0.0695,0.743
"Mesic grasslands","Geum rivale","Grassland",0.0917,0.297
"Mesic grasslands","Geum urbanum","Settlement",0.1829,0.039
"Mesic grasslands","Glechoma hederacea","Settlement",0.3631,0.001
"Mesic grasslands","Glechoma hirsuta","Arable land",0.0469,0.567
"Mesic grasslands","Glyceria declinata","Grassland",0.0525,0.614
"Mesic grasslands","Glyceria fluitans aggr.","Forest",0.0591,0.625
"Mesic grasslands","Glyceria maxima","Grassland",0.0525,0.652
"Mesic grasslands","Gnaphalium sylvaticum","Arable land",0.1025,0.22
"Mesic grasslands","Gnaphalium uliginosum","Forest",0.0609,0.42
"Mesic grasslands","Gymnadenia conopsea","Forest",0.0786,0.241
"Mesic grasslands","Gypsophila muralis","Forest",0.0599,0.404
"Mesic grasslands","Hedera helix aggr.","Permanent crop",0.1048,0.045
"Mesic grasslands","Helianthemum nummularium","Arable land",0.1127,0.416
"Mesic grasslands","Helianthus tuberosus","Settlement",0.1342,0.01
"Mesic grasslands","Helictochloa pratensis","Settlement",0.0606,0.769
"Mesic grasslands","Hepatica nobilis","Permanent crop",0.1363,0.008
"Mesic grasslands","Heracleum sphondylium","Permanent crop",0.3405,0.024
"Mesic grasslands","Herniaria glabra","Grassland",0.0584,0.548
"Mesic grasslands","Hesperis tristis","Forest",0.0674,0.283
"Mesic grasslands","Hieracium lachenalii","Grassland",0.0725,0.538
"Mesic grasslands","Hieracium laevigatum","Arable land",0.0528,0.672
"Mesic grasslands","Hieracium murorum","Grassland",0.0371,1
"Mesic grasslands","Hieracium sabaudum","Arable land",0.0935,0.382
"Mesic grasslands","Hieracium umbellatum","Arable land",0.1363,0.159
"Mesic grasslands","Holcus lanatus","Grassland",0.2988,0.464
"Mesic grasslands","Holcus mollis","Forest",0.1739,0.277
"Mesic grasslands","Holosteum umbellatum","Settlement",0.1108,0.054
"Mesic grasslands","Homogyne alpina","Forest",0.0674,0.222
"Mesic grasslands","Hordeum murinum","Permanent crop",0.085,0.143
"Mesic grasslands","Humulus lupulus","Arable land",0.0355,1
"Mesic grasslands","Hylotelephium maximum","Arable land",0.0704,0.602
"Mesic grasslands","Hylotelephium telephium","Grassland",0.0365,1
"Mesic grasslands","Hyoscyamus albus","Forest",0.0953,0.089
"Mesic grasslands","Hypericum hirsutum","Permanent crop",0.1048,0.075
"Mesic grasslands","Hypericum humifusum","Forest",0.0674,0.248
"Mesic grasslands","Hypericum maculatum aggr.","Grassland",0.2704,0.016
"Mesic grasslands","Hypericum perforatum","Arable land",0.3276,0.004
"Mesic grasslands","Hypericum tetrapterum","Arable land",0.0499,0.791
"Mesic grasslands","Hypochaeris maculata","Grassland",0.0525,0.648
"Mesic grasslands","Hypochaeris radicata","Arable land",0.1946,0.043
"Mesic grasslands","Impatiens noli-tangere","Grassland",0.0525,0.732
"Mesic grasslands","Impatiens parviflora","Arable land",0.0469,0.552
"Mesic grasslands","Inula britannica","Arable land",0.0677,0.6
"Mesic grasslands","Inula conyzae","Grassland",0.0494,0.865
"Mesic grasslands","Inula salicina","Permanent crop",0.1498,0.145
"Mesic grasslands","Iris graminea","Grassland",0.0371,1
"Mesic grasslands","Iris pseudacorus","Forest",0.0606,0.407
"Mesic grasslands","Iris sibirica","Grassland",0.1044,0.145
"Mesic grasslands","Iris variegata","Grassland",0.0371,1
"Mesic grasslands","Isolepis setacea","Grassland",0.0371,1
"Mesic grasslands","Jacobaea aquatica","Arable land",0.1212,0.232
"Mesic grasslands","Jacobaea erratica","Forest",0.0675,0.55
"Mesic grasslands","Jacobaea vulgaris","Arable land",0.1601,0.024
"Mesic grasslands","Jasione montana","Arable land",0.0842,0.314
"Mesic grasslands","Juglans regia","Arable land",0.0411,0.867
"Mesic grasslands","Juncus acutiflorus","Grassland",0.0371,1
"Mesic grasslands","Juncus articulatus","Grassland",0.0913,0.308
"Mesic grasslands","Juncus bufonius aggr.","Forest",0.0649,0.39
"Mesic grasslands","Juncus compressus","Grassland",0.0371,1
"Mesic grasslands","Juncus conglomeratus","Grassland",0.1045,0.734
"Mesic grasslands","Juncus effusus","Grassland",0.1755,0.052
"Mesic grasslands","Juncus filiformis","Grassland",0.121,0.348
"Mesic grasslands","Juncus inflexus","Grassland",0.0371,1
"Mesic grasslands","Juncus tenuis","Forest",0.1493,0.006
"Mesic grasslands","Juniperus communis subsp. communis","Arable land",0.0469,0.561
"Mesic grasslands","Klasea lycopifolia","Grassland",0.0525,0.623
"Mesic grasslands","Knautia arvensis","Permanent crop",0.4068,0.001
"Mesic grasslands","Knautia drymeia","Permanent crop",0.2605,0.001
"Mesic grasslands","Knautia kitaibelii","Grassland",0.07,0.465
"Mesic grasslands","Knautia maxima","Forest",0.0942,0.212
"Mesic grasslands","Koeleria macrantha","Grassland",0.066,0.679
"Mesic grasslands","Koeleria pyramidata","Arable land",0.1711,0.058
"Mesic grasslands","Lactuca serriola","Settlement",0.1238,0.143
"Mesic grasslands","Lamium album","Settlement",0.2232,0.002
"Mesic grasslands","Lamium amplexicaule","Grassland",0.0371,1
"Mesic grasslands","Lamium galeobdolon","Forest",0.0674,0.265
"Mesic grasslands","Lamium maculatum","Permanent crop",0.0822,0.376
"Mesic grasslands","Lamium purpureum","Settlement",0.1583,0.009
"Mesic grasslands","Lapsana communis","Settlement",0.1545,0.005
"Mesic grasslands","Larix decidua","Arable land",0.0664,0.315
"Mesic grasslands","Laserpitium latifolium","Grassland",0.0371,1
"Mesic grasslands","Laserpitium prutenicum","Forest",0.0434,0.846
"Mesic grasslands","Lathyrus latifolius","Permanent crop",0.2107,0.004
"Mesic grasslands","Lathyrus niger","Grassland",0.1063,0.13
"Mesic grasslands","Lathyrus palustris","Forest",0.0602,0.414
"Mesic grasslands","Lathyrus pratensis","Forest",0.3663,0.013
"Mesic grasslands","Lathyrus sylvestris","Permanent crop",0.1902,0.003
"Mesic grasslands","Lathyrus tuberosus","Permanent crop",0.1596,0.029
"Mesic grasslands","Leersia oryzoides","Grassland",0.0371,1
"Mesic grasslands","Lembotropis nigricans","Forest",0.0935,0.091
"Mesic grasslands","Leontodon hispidus","Arable land",0.3788,0.006
"Mesic grasslands","Leopoldia comosa","Permanent crop",0.0728,0.348
"Mesic grasslands","Lepidium campestre","Arable land",0.0469,0.519
"Mesic grasslands","Lepidium draba","Arable land",0.0659,0.476
"Mesic grasslands","Lepidium ruderale","Grassland",0.0371,1
"Mesic grasslands","Leucanthemum vulgare aggr.","Forest",0.3346,0.074
"Mesic grasslands","Ligustrum vulgare","Forest",0.1,0.096
"Mesic grasslands","Lilium bulbiferum","Arable land",0.0295,1
"Mesic grasslands","Lilium martagon","Grassland",0.0642,0.445
"Mesic grasslands","Linaria genistifolia","Grassland",0.0371,1
"Mesic grasslands","Linaria vulgaris","Arable land",0.1733,0.04
"Mesic grasslands","Linum catharticum","Arable land",0.1458,0.38
"Mesic grasslands","Lithospermum officinale","Grassland",0.0371,1
"Mesic grasslands","Lolium multiflorum","Grassland",0.0547,0.812
"Mesic grasslands","Lolium perenne","Settlement",0.5236,0.001
"Mesic grasslands","Lotus borbasii","Grassland",0.0371,1
"Mesic grasslands","Lotus corniculatus","Arable land",0.433,0.001
"Mesic grasslands","Lotus maritimus","Grassland",0.0904,0.364
"Mesic grasslands","Lotus pedunculatus","Grassland",0.0712,0.586
"Mesic grasslands","Lotus tenuis","Grassland",0.0583,0.743
"Mesic grasslands","Lupinus polyphyllus","Settlement",0.0638,0.635
"Mesic grasslands","Luzula campestris aggr.","Grassland",0.3177,0.099
"Mesic grasslands","Luzula forsteri","Arable land",0.0469,0.527
"Mesic grasslands","Luzula luzuloides","Arable land",0.0969,0.289
"Mesic grasslands","Luzula pilosa","Forest",0.0735,0.406
"Mesic grasslands","Luzula sylvatica","Forest",0.0538,0.714
"Mesic grasslands","Lycopus europaeus","Permanent crop",0.1,0.038
"Mesic grasslands","Lysimachia nemorum","Forest",0.0571,0.487
"Mesic grasslands","Lysimachia nummularia","Grassland",0.1669,0.382
"Mesic grasslands","Lysimachia punctata","Forest",0.062,0.403
"Mesic grasslands","Lysimachia thyrsiflora","Arable land",0.0469,0.53
"Mesic grasslands","Lysimachia vulgaris","Grassland",0.1391,0.086
"Mesic grasslands","Lythrum salicaria","Permanent crop",0.0727,0.55
"Mesic grasslands","Lythrum virgatum","Forest",0.0501,0.761
"Mesic grasslands","Malus pumila","Arable land",0.037,0.869
"Mesic grasslands","Malus sylvestris","Forest",0.06,0.431
"Mesic grasslands","Malva alcea","Grassland",0.0371,1
"Mesic grasslands","Malva moschata","Grassland",0.0742,0.376
"Mesic grasslands","Malva neglecta","Settlement",0.0856,0.219
"Mesic grasslands","Malva sylvestris","Grassland",0.0525,0.72
"Mesic grasslands","Matricaria discoidea","Settlement",0.0554,0.816
"Mesic grasslands","Medicago falcata","Permanent crop",0.3105,0.001
"Mesic grasslands","Medicago lupulina","Permanent crop",0.3526,0.002
"Mesic grasslands","Medicago minima","Grassland",0.0525,0.7
"Mesic grasslands","Medicago x varia","Permanent crop",0.4241,0.001
"Mesic grasslands","Melampyrum arvense","Permanent crop",0.0892,0.14
"Mesic grasslands","Melampyrum nemorosum aggr.","Arable land",0.0725,0.557
"Mesic grasslands","Melampyrum pratense","Forest",0.0418,0.884
"Mesic grasslands","Melampyrum sylvaticum","Forest",0.0674,0.266
"Mesic grasslands","Melica nutans","Forest",0.0674,0.265
"Mesic grasslands","Melica transsilvanica","Permanent crop",0.0833,0.181
"Mesic grasslands","Melilotus albus","Arable land",0.0386,0.891
"Mesic grasslands","Melilotus dentatus","Arable land",0.0377,0.872
"Mesic grasslands","Melilotus indicus","Grassland",0.0371,1
"Mesic grasslands","Melilotus officinalis","Permanent crop",0.0721,0.646
"Mesic grasslands","Mentha aquatica","Forest",0.0609,0.532
"Mesic grasslands","Mentha arvensis","Grassland",0.153,0.099
"Mesic grasslands","Mentha longifolia","Permanent crop",0.1384,0.018
"Mesic grasslands","Mentha x verticillata aggr.","Settlement",0.0924,0.259
"Mesic grasslands","Mercurialis annua","Grassland",0.0371,1
"Mesic grasslands","Mimulus guttatus","Grassland",0.0371,1
"Mesic grasslands","Molinia caerulea aggr.","Grassland",0.1481,0.314
"Mesic grasslands","Muscari botryoides","Grassland",0.0371,1
"Mesic grasslands","Myosotis arvensis","Grassland",0.1754,0.16
"Mesic grasslands","Myosotis discolor","Grassland",0.0768,0.625
"Mesic grasslands","Myosotis ramosissima","Forest",0.2173,0.001
"Mesic grasslands","Myosotis scorpioides aggr.","Grassland",0.2013,0.16
"Mesic grasslands","Myosotis sparsiflora","Forest",0.0953,0.095
"Mesic grasslands","Myosotis stricta","Arable land",0.0538,0.931
"Mesic grasslands","Myosotis sylvatica","Settlement",0.1137,0.113
"Mesic grasslands","Myosoton aquaticum","Permanent crop",0.0815,0.246
"Mesic grasslands","Myrrhis odorata","Grassland",0.0371,1
"Mesic grasslands","Nardus stricta","Forest",0.1799,0.178
"Mesic grasslands","Neotinea tridentata","Forest",0.0919,0.085
"Mesic grasslands","Neotinea ustulata","Grassland",0.0467,0.806
"Mesic grasslands","Neottia ovata","Permanent crop",0.0701,0.779
"Mesic grasslands","Nepeta nuda","Grassland",0.0371,1
"Mesic grasslands","Neslia paniculata","Grassland",0.0371,1
"Mesic grasslands","Noccaea caerulescens","Forest",0.109,0.129
"Mesic grasslands","Noccaea perfoliata","Forest",0.0947,0.21
"Mesic grasslands","Nonea pulla","Arable land",0.0469,0.562
"Mesic grasslands","Ochlopoa annua","Settlement",0.2374,0.002
"Mesic grasslands","Ochlopoa supina","Forest",0.0953,0.082
"Mesic grasslands","Odontites vulgaris aggr.","Grassland",0.0894,0.387
"Mesic grasslands","Oenothera biennis","Permanent crop",0.0946,0.108
"Mesic grasslands","Onobrychis arenaria","Arable land",0.0846,0.171
"Mesic grasslands","Onobrychis viciifolia","Permanent crop",0.5234,0.001
"Mesic grasslands","Ononis spinosa","Permanent crop",0.3604,0.001
"Mesic grasslands","Onopordum acanthium","Grassland",0.0525,0.689
"Mesic grasslands","Ophioglossum vulgatum","Forest",0.1246,0.055
"Mesic grasslands","Orchis mascula","Settlement",0.0875,0.184
"Mesic grasslands","Origanum vulgare","Permanent crop",0.1404,0.047
"Mesic grasslands","Ornithogalum sphaerocarpum","Arable land",0.0469,0.559
"Mesic grasslands","Ornithogalum umbellatum","Forest",0.1821,0.004
"Mesic grasslands","Orobanche gracilis","Forest",0.0674,0.262
"Mesic grasslands","Orobanche lutea","Permanent crop",0.1482,0.004
"Mesic grasslands","Orthilia secunda","Arable land",0.0469,0.561
"Mesic grasslands","Oxalis corniculata","Grassland",0.0371,1
"Mesic grasslands","Oxalis dillenii","Forest",0.0953,0.095
"Mesic grasslands","Oxalis stricta","Settlement",0.093,0.117
"Mesic grasslands","Oxybasis chenopodioides","Arable land",0.0469,0.559
"Mesic grasslands","Panicum miliaceum","Forest",0.0674,0.261
"Mesic grasslands","Papaver rhoeas","Permanent crop",0.0746,0.34
"Mesic grasslands","Parthenocissus quinquefolia aggr.","Arable land",0.0469,0.556
"Mesic grasslands","Pastinaca sativa","Settlement",0.4962,0.001
"Mesic grasslands","Pedicularis sylvatica","Grassland",0.0371,1
"Mesic grasslands","Persicaria amphibia","Settlement",0.0856,0.383
"Mesic grasslands","Persicaria hydropiper","Grassland",0.0371,1
"Mesic grasslands","Persicaria maculosa","Grassland",0.0371,1
"Mesic grasslands","Persicaria minor","Grassland",0.0525,0.701
"Mesic grasslands","Petasites albus","Permanent crop",0.1048,0.061
"Mesic grasslands","Petasites hybridus","Grassland",0.0348,0.938
"Mesic grasslands","Petrorhagia prolifera","Permanent crop",0.0636,0.496
"Mesic grasslands","Petrorhagia saxifraga","Arable land",0.0469,0.547
"Mesic grasslands","Peucedanum alsaticum","Permanent crop",0.067,0.509
"Mesic grasslands","Peucedanum austriacum","Arable land",0.0469,0.513
"Mesic grasslands","Peucedanum cervaria","Grassland",0.1481,0.021
"Mesic grasslands","Peucedanum oreoselinum","Permanent crop",0.1306,0.09
"Mesic grasslands","Peucedanum palustre","Forest",0.0953,0.099
"Mesic grasslands","Phalaroides arundinacea","Forest",0.1244,0.144
"Mesic grasslands","Phleum alpinum aggr.","Grassland",0.0371,1
"Mesic grasslands","Phleum nodosum","Grassland",0.0371,1
"Mesic grasslands","Phleum phleoides","Settlement",0.0567,0.849
"Mesic grasslands","Phleum pratense","Arable land",0.221,0.198
"Mesic grasslands","Phlomis tuberosa","Arable land",0.0469,0.525
"Mesic grasslands","Phragmites australis","Permanent crop",0.1516,0.024
"Mesic grasslands","Physalis alkekengi","Forest",0.0674,0.261
"Mesic grasslands","Phyteuma nigrum","Arable land",0.1511,0.142
"Mesic grasslands","Phyteuma orbiculare","Arable land",0.0469,0.549
"Mesic grasslands","Phyteuma spicatum","Grassland",0.0664,0.543
"Mesic grasslands","Picea abies","Forest",0.0797,0.547
"Mesic grasslands","Picris hieracioides","Arable land",0.2794,0.001
"Mesic grasslands","Pilosella acutifolia","Grassland",0.0371,1
"Mesic grasslands","Pilosella aurantiaca","Grassland",0.0371,1
"Mesic grasslands","Pilosella bauhini","Forest",0.0819,0.52
"Mesic grasslands","Pilosella caespitosa","Forest",0.0466,0.895
"Mesic grasslands","Pilosella echioides","Arable land",0.0469,0.538
"Mesic grasslands","Pilosella floribunda","Permanent crop",0.1874,0.001
"Mesic grasslands","Pilosella lactucella","Arable land",0.0551,0.627
"Mesic grasslands","Pilosella officinarum","Arable land",0.1747,0.207
"Mesic grasslands","Pimpinella major","Forest",0.2739,0.037
"Mesic grasslands","Pimpinella nigra","Grassland",0.0525,0.766
"Mesic grasslands","Pimpinella saxifraga","Arable land",0.2999,0.021
"Mesic grasslands","Pinus sylvestris","Arable land",0.0842,0.38
"Mesic grasslands","Plantago lanceolata","Arable land",0.4864,0.002
"Mesic grasslands","Plantago major","Settlement",0.2599,0.019
"Mesic grasslands","Plantago maritima","Grassland",0.0468,0.887
"Mesic grasslands","Plantago media","Settlement",0.2954,0.009
"Mesic grasslands","Platanthera bifolia","Grassland",0.049,0.862
"Mesic grasslands","Poa bulbosa","Settlement",0.0949,0.12
"Mesic grasslands","Poa chaixii","Grassland",0.1314,0.124
"Mesic grasslands","Poa compressa","Arable land",0.1035,0.406
"Mesic grasslands","Poa nemoralis","Arable land",0.0526,0.923
"Mesic grasslands","Poa palustris","Arable land",0.1063,0.511
"Mesic grasslands","Poa pratensis aggr.","Forest",0.462,0.009
"Mesic grasslands","Poa trivialis","Forest",0.2564,0.086
"Mesic grasslands","Polycnemum majus","Forest",0.0674,0.272
"Mesic grasslands","Polygala amara","Forest",0.0674,0.253
"Mesic grasslands","Polygala amarella","Arable land",0.0469,0.538
"Mesic grasslands","Polygala comosa","Forest",0.1478,0.037
"Mesic grasslands","Polygala major","Permanent crop",0.0739,0.397
"Mesic grasslands","Polygala vulgaris","Forest",0.1674,0.1
"Mesic grasslands","Polygonatum odoratum","Grassland",0.0371,1
"Mesic grasslands","Polygonum aviculare aggr.","Settlement",0.17,0.055
"Mesic grasslands","Populus alba","Forest",0.0913,0.163
"Mesic grasslands","Populus nigra","Grassland",0.0371,1
"Mesic grasslands","Populus tremula","Forest",0.1044,0.287
"Mesic grasslands","Populus x canadensis","Grassland",0.0371,1
"Mesic grasslands","Potentilla alba","Grassland",0.2115,0.008
"Mesic grasslands","Potentilla argentea","Arable land",0.2058,0.059
"Mesic grasslands","Potentilla erecta","Grassland",0.294,0.005
"Mesic grasslands","Potentilla heptaphylla","Grassland",0.0962,0.482
"Mesic grasslands","Potentilla incana","Permanent crop",0.0959,0.111
"Mesic grasslands","Potentilla inclinata","Arable land",0.0469,0.572
"Mesic grasslands","Potentilla norvegica","Grassland",0.0371,1
"Mesic grasslands","Potentilla pusilla","Arable land",0.0355,1
"Mesic grasslands","Potentilla recta","Permanent crop",0.1683,0.005
"Mesic grasslands","Potentilla reptans","Settlement",0.2641,0.002
"Mesic grasslands","Potentilla sterilis","Arable land",0.0813,0.284
"Mesic grasslands","Potentilla supina","Grassland",0.0371,1
"Mesic grasslands","Potentilla tabernaemontani","Arable land",0.1759,0.032
"Mesic grasslands","Primula acaulis","Forest",0.0674,0.266
"Mesic grasslands","Primula elatior","Forest",0.1203,0.083
"Mesic grasslands","Primula veris","Permanent crop",0.3075,0.001
"Mesic grasslands","Prunella grandiflora","Settlement",0.0536,0.969
"Mesic grasslands","Prunella vulgaris","Settlement",0.2503,0.435
"Mesic grasslands","Prunus avium","Permanent crop",0.069,0.636
"Mesic grasslands","Prunus cerasifera","Permanent crop",0.0915,0.089
"Mesic grasslands","Prunus cerasus","Arable land",0.0397,0.885
"Mesic grasslands","Prunus domestica","Arable land",0.099,0.17
"Mesic grasslands","Prunus fruticosa","Grassland",0.0371,1
"Mesic grasslands","Prunus spinosa","Permanent crop",0.0884,0.574
"Mesic grasslands","Puccinellia distans","Arable land",0.0469,0.559
"Mesic grasslands","Pulicaria dysenterica","Arable land",0.0371,0.881
"Mesic grasslands","Pulmonaria angustifolia","Grassland",0.0908,0.133
"Mesic grasslands","Pulmonaria mollis","Grassland",0.1586,0.034
"Mesic grasslands","Pulmonaria officinalis","Permanent crop",0.0705,0.391
"Mesic grasslands","Pulsatilla vulgaris","Arable land",0.0336,1
"Mesic grasslands","Pyrus communis","Permanent crop",0.086,0.175
"Mesic grasslands","Quercus cerris","Grassland",0.0525,0.613
"Mesic grasslands","Quercus dalechampii","Forest",0.0674,0.262
"Mesic grasslands","Quercus petraea","Permanent crop",0.1246,0.064
"Mesic grasslands","Quercus pubescens","Grassland",0.0371,1
"Mesic grasslands","Quercus robur","Forest",0.1057,0.464
"Mesic grasslands","Ranunculus acris aggr.","Forest",0.4099,0.006
"Mesic grasslands","Ranunculus auricomus aggr.","Grassland",0.3143,0.002
"Mesic grasslands","Ranunculus bulbosus","Permanent crop",0.2012,0.145
"Mesic grasslands","Ranunculus flammula","Grassland",0.1277,0.054
"Mesic grasslands","Ranunculus illyricus","Grassland",0.0371,1
"Mesic grasslands","Ranunculus polyanthemos","Permanent crop",0.3478,0.001
"Mesic grasslands","Ranunculus repens","Forest",0.2617,0.087
"Mesic grasslands","Ranunculus sardous","Grassland",0.0371,1
"Mesic grasslands","Raphanus raphanistrum","Arable land",0.0664,0.272
"Mesic grasslands","Rapistrum perenne","Permanent crop",0.1004,0.055
"Mesic grasslands","Reseda lutea","Settlement",0.0698,0.436
"Mesic grasslands","Rhamnus cathartica","Grassland",0.062,0.715
"Mesic grasslands","Rhinanthus alectorolophus","Arable land",0.1001,0.143
"Mesic grasslands","Rhinanthus angustifolius","Permanent crop",0.1001,0.34
"Mesic grasslands","Rhinanthus minor","Permanent crop",0.3151,0.009
"Mesic grasslands","Robinia pseudoacacia","Settlement",0.1342,0.009
"Mesic grasslands","Rorippa austriaca","Forest",0.0435,0.886
"Mesic grasslands","Rorippa palustris","Forest",0.0674,0.265
"Mesic grasslands","Rorippa sylvestris","Forest",0.0757,0.352
"Mesic grasslands","Rosa canina","Permanent crop",0.1344,0.106
"Mesic grasslands","Rosa canina aggr.","Arable land",0.2622,0.002
"Mesic grasslands","Rosa gallica","Grassland",0.0371,1
"Mesic grasslands","Rosa pendulina","Grassland",0.0525,0.739
"Mesic grasslands","Rubus caesius","Arable land",0.1232,0.174
"Mesic grasslands","Rubus fruticosus aggr.","Forest",0.0795,0.338
"Mesic grasslands","Rubus idaeus","Grassland",0.0572,0.872
"Mesic grasslands","Rumex acetosa","Grassland",0.4311,0.003
"Mesic grasslands","Rumex acetosella","Forest",0.1464,0.578
"Mesic grasslands","Rumex arifolius","Grassland",0.0371,1
"Mesic grasslands","Rumex conglomeratus","Arable land",0.0469,0.53
"Mesic grasslands","Rumex crispus","Forest",0.1186,0.387
"Mesic grasslands","Rumex maritimus","Arable land",0.0469,0.532
"Mesic grasslands","Rumex obtusifolius","Arable land",0.1689,0.163
"Mesic grasslands","Rumex sanguineus","Arable land",0.0469,0.552
"Mesic grasslands","Rumex thyrsiflorus","Permanent crop",0.126,0.132
"Mesic grasslands","Sagina apetala","Forest",0.0674,0.237
"Mesic grasslands","Sagina procumbens","Grassland",0.0816,0.688
"Mesic grasslands","Salix aurita","Grassland",0.0642,0.468
"Mesic grasslands","Salix caprea","Arable land",0.1901,0.003
"Mesic grasslands","Salix cinerea subsp. cinerea","Grassland",0.0742,0.405
"Mesic grasslands","Salix euxina","Grassland",0.0371,1
"Mesic grasslands","Salix repens","Forest",0.048,0.706
"Mesic grasslands","Salvia glutinosa","Permanent crop",0.2788,0.001
"Mesic grasslands","Salvia nemorosa","Grassland",0.0893,0.273
"Mesic grasslands","Salvia pratensis","Permanent crop",0.5546,0.001
"Mesic grasslands","Salvia verticillata","Permanent crop",0.3782,0.001
"Mesic grasslands","Sambucus nigra","Grassland",0.0305,1
"Mesic grasslands","Sanguisorba minor aggr.","Arable land",0.3293,0.001
"Mesic grasslands","Sanguisorba officinalis","Grassland",0.3056,0.014
"Mesic grasslands","Saponaria officinalis","Permanent crop",0.0567,0.772
"Mesic grasslands","Saxifraga bulbifera","Permanent crop",0.1232,0.098
"Mesic grasslands","Saxifraga granulata","Arable land",0.1646,0.135
"Mesic grasslands","Scabiosa canescens","Forest",0.0674,0.27
"Mesic grasslands","Scabiosa columbaria aggr.","Forest",0.0688,0.475
"Mesic grasslands","Scabiosa ochroleuca","Settlement",0.0942,0.569
"Mesic grasslands","Schedonorus arundinaceus","Arable land",0.1296,0.26
"Mesic grasslands","Schedonorus giganteus","Settlement",0.0883,0.143
"Mesic grasslands","Schedonorus pratensis","Permanent crop",0.4132,0.005
"Mesic grasslands","Schoenoplectus lacustris subsp. glaucus","Arable land",0.0469,0.559
"Mesic grasslands","Scirpoides holoschoenus","Grassland",0.0525,0.632
"Mesic grasslands","Scirpus sylvaticus","Grassland",0.1883,0.017
"Mesic grasslands","Scleranthus annuus","Grassland",0.059,0.795
"Mesic grasslands","Scleranthus perennis","Grassland",0.0525,0.626
"Mesic grasslands","Scorzonera cana","Settlement",0.0867,0.194
"Mesic grasslands","Scorzonera humilis","Grassland",0.1268,0.293
"Mesic grasslands","Scorzoneroides autumnalis","Settlement",0.3368,0.001
"Mesic grasslands","Scrophularia nodosa","Arable land",0.038,0.908
"Mesic grasslands","Scrophularia umbrosa","Permanent crop",0.1048,0.065
"Mesic grasslands","Scutellaria hastifolia","Forest",0.0946,0.163
"Mesic grasslands","Securigera varia","Arable land",0.3209,0.002
"Mesic grasslands","Sedum acre","Arable land",0.0982,0.26
"Mesic grasslands","Sedum album","Grassland",0.0371,1
"Mesic grasslands","Sedum sexangulare","Permanent crop",0.1078,0.146
"Mesic grasslands","Sedum spurium","Grassland",0.0371,1
"Mesic grasslands","Selinum carvifolia","Grassland",0.1405,0.163
"Mesic grasslands","Selinum dubium","Forest",0.1177,0.136
"Mesic grasslands","Senecio doria aggr.","Grassland",0.0371,1
"Mesic grasslands","Senecio nemorensis aggr.","Forest",0.0841,0.195
"Mesic grasslands","Senecio sarracenicus","Forest",0.0674,0.265
"Mesic grasslands","Senecio vulgaris","Arable land",0.0573,0.654
"Mesic grasslands","Serratula tinctoria","Grassland",0.2103,0.022
"Mesic grasslands","Seseli annuum","Forest",0.0907,0.105
"Mesic grasslands","Seseli libanotis","Permanent crop",0.1885,0.002
"Mesic grasslands","Seseli osseum","Grassland",0.0371,1
"Mesic grasslands","Setaria pumila","Grassland",0.0442,0.972
"Mesic grasslands","Setaria verticillata","Settlement",0.1342,0.008
"Mesic grasslands","Setaria viridis","Settlement",0.075,0.334
"Mesic grasslands","Silaum silaus","Forest",0.1716,0.007
"Mesic grasslands","Silene baccifera","Arable land",0.0469,0.533
"Mesic grasslands","Silene dioica","Arable land",0.0716,0.678
"Mesic grasslands","Silene flos-cuculi","Grassland",0.3076,0.005
"Mesic grasslands","Silene latifolia","Settlement",0.1497,0.08
"Mesic grasslands","Silene noctiflora","Grassland",0.0371,1
"Mesic grasslands","Silene nutans","Arable land",0.1252,0.252
"Mesic grasslands","Silene viscaria","Arable land",0.1426,0.28
"Mesic grasslands","Silene vulgaris","Permanent crop",0.3074,0.001
